ptLat,ptLon,ptTitle
-36.8535712,174.7456809,World
35.000074,104.999927,China
33.0955793,44.1749775,Iraq
31.1667049,36.941628,Jordan
34.6401861,39.0494106,Syria
24.0002488,53.9994829,United Arab Emirates
41.32373,63.9528098,Uzbekistan
39.7837304,-100.445882,United States of America
64.6863136,97.7453061,Russian Federation
-28.8166236,24.991639,South Africa
9.6000359,7.9999721,Nigeria
42.6384261,12.674297,Italy
29.2733964,47.4979476,Kuwait
40.3936294,47.7872508,Azerbaijan
34.9823018,33.1451285,Cyprus
41.000028,19.9999619,Albania
26.1551249,50.5344606,Bahrain
46.603354,1.8883335,France
32.3293809,-83.1137366,Georgia
32.6475314,54.5643516,Iran
4.5693754,102.2656823,Malaysia
3.7203503,73.2244152,Maldives
48.1012954,66.7780818,Kazakhstan
21.0000287,57.0036901,Oman
17.7356214,9.3238432,Niger
25.3336984,51.2295295,Qatar
26.2540493,29.2675469,Egypt
54.7023545,-3.2765753,United Kingdom
39.3763807,59.3924609,Turkmenistan
49.4871968,31.2718321,Ukraine
39.3260685,-4.8379791,Spain
30.3308401,71.247499,Pakistan
50.6402809,4.6667145,Belgium
51.1638175,10.4478313,Germany
1.4419683,38.4313975,Kenya
16.3700359,-2.2900239,Mali
12.7503486,122.7312101,Philippines
52.215933,19.134422,Poland
52.2434979,5.6343227,Netherlands
33.8750629,35.843409,Lebanon
38.9597594,34.9249653,Turkey
17.2234721,-61.9554608,Antigua and Barbuda
24.7736546,-78.0000547,Bahamas
13.1500331,-59.5250305,Barbados
16.8259793,-88.7600927,Belize
42.6073975,25.4856617,Bulgaria
55.670249,10.3333283,Denmark
36.1285933,-5.3474761,Gibraltar
38.9953683,21.9877132,Greece
30.8124247,34.8594762,Israel
36.5748441,139.2394179,Japan
5.7499721,-9.3658524,Liberia
26.8234472,18.1236723,Libya
55.3500003,23.7499997,Lithuania
35.8885993,14.4476911,Malta
31.462420950000002,34.262716572130714,State of Palestine
22.350627,114.1849161,"China, Hong Kong SAR"
8.559559,-81.1308434,Panama
17.250512,-62.6725973,Saint Kitts and Nevis
-4.6574977,55.4540146,Seychelles
39.6621648,-8.1353519,Portugal
1.357107,103.8194992,Singapore
8.6400349,-11.8400269,Sierra Leone
5.3783537,132.9102573,Palau
10.7226226,-10.7083587,Guinea
4.6125522,13.1535811,Cameroon
22.3511148,78.6677428,India
60.5000209,9.0999715,Norway
46.7985624,8.2319736,Switzerland
47.59397,14.12456,Austria
8.0300284,-1.0800271,Ghana
7.9897371,-5.5679458,Côte d'Ivoire
44.1534121,20.55144,Serbia
48.7411522,19.4528646,Slovakia
15.9266657,107.9650855,Viet Nam
-2.9814344,23.8222636,Congo
46.8250388,103.8499736,Mongolia
41.5089324,74.724091,Kyrgyzstan
-10.3333333,-53.2,Brazil
33.7680065,66.2385139,Afghanistan
-32.8755548,-56.0201525,Uruguay
53.4250605,27.6971358,Belarus
23.6585116,-102.0077097,Mexico
45.9852129,24.6859225,Romania
45.8133113,14.4808369,Slovenia
63.2467777,25.9209164,Finland
61.0666922,-107.991707,Canada
64.9841821,-18.1059013,Iceland
-2.4833826,117.8902853,Indonesia
31.1728205,-7.3362482,Morocco
14.8971921,100.83273,Thailand
47.1817585,19.5060937,Hungary
7.5554942,80.7137847,Sri Lanka
28.0000272,2.9999825,Algeria
-24.7761086,134.755,Australia
44.3053476,17.5961467,Bosnia Herzegovina
52.865196,-7.9794599,Ireland
8.3676771,49.083416,Somalia
59.6749712,14.5208584,Sweden
-41.5000831,172.8344077,New Zealand
25.6242618,42.3528328,Saudi Arabia
-34.9964963,-64.9672817,Argentina
1.5333554,32.2166578,Uganda
8.0018709,-66.1109318,Venezuela
33.8439408,9.400138,Tunisia
16.3471243,47.8915271,Yemen
14.4750607,-14.4529612,Senegal
-1.9646631,30.0644358,Rwanda
12.90447,-61.2765569,Saint Vincent and the Grenadines
11.8145966,42.8453061,Djibouti
13.470062,-15.4900464,Gambia
24.4769288,90.2934413,Bangladesh
15.5855545,-90.345759,Guatemala
-31.7613365,-71.3187697,Chile
20.2540382,-9.2399263,Mauritania
58.7523778,25.3319078,Estonia
56.8406494,24.7537645,Latvia
14.5844444,29.4917691,Sudan
-6.8699697,-75.0458515,Peru
38.6281733,70.8156541,Tajikistan
-18.9249604,46.4416422,Madagascar
8.7800265,1.0199765,Togo
-8.6405212,179.1582918181797,Tuvalu
-12.2045176,44.2832964,Comoros
10.2116702,38.6521203,Ethiopia
15.2572432,-86.0755145,Honduras
-11.8775768,17.5691241,Angola
1.613172,10.5170357,Equatorial Guinea
-23.2335499,17.3231107,Namibia
-0.8999695,11.6899699,Gabon
12.5433216,104.8144914,Cambodia
9.5293472,2.2584408,Benin
-16.5255069,168.1069154,Vanuatu
28.1083929,84.0917139,Nepal
-1.3397668,-79.3666965,Ecuador
-13.2687204,33.9301963,Malawi
10.2735633,-84.0739102,Costa Rica
15.9500319,37.9999668,Eritrea
-20.2759451,57.5703566,Mauritius
4.099917,-72.9088133,Colombia
4.1413025,-56.0771187,Suriname
