yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2019,2019.0,Re-Export,Jordan,World,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",773442.0,,31.1667049,36.941628,-36.8535712,174.7456809
2019,2019.0,Re-Export,Jordan,State of Palestine,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",10880.0,,31.1667049,36.941628,31.46242095,34.262716572130714
2019,2019.0,Re-Export,Jordan,Germany,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1580.0,,31.1667049,36.941628,51.1638175,10.4478313
2019,2019.0,Re-Export,Jordan,Iraq,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",115204.0,,31.1667049,36.941628,33.0955793,44.1749775
2019,2019.0,Re-Export,Jordan,Oman,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",12676.0,,31.1667049,36.941628,21.0000287,57.0036901
2019,2019.0,Re-Export,Jordan,Saudi Arabia,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1774.0,,31.1667049,36.941628,25.6242618,42.3528328
2019,2019.0,Re-Export,Jordan,Syria,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",199616.0,,31.1667049,36.941628,34.6401861,39.0494106
2019,2019.0,Re-Export,Jordan,United Arab Emirates,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",29157.0,,31.1667049,36.941628,24.0002488,53.9994829
2019,2019.0,Re-Export,Jordan,Turkey,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1783.0,,31.1667049,36.941628,38.9597594,34.9249653
2019,2019.0,Re-Export,Jordan,Egypt,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",8823.0,,31.1667049,36.941628,26.2540493,29.2675469
2019,2019.0,Re-Export,Jordan,Free Zones,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",354715.0,,31.1667049,36.941628,5.57675525,-0.1653113957934536
2019,2019.0,Re-Export,Jordan,USA,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",37229.0,,31.1667049,36.941628,39.7837304,-100.445882
