yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2020,2020,Import,Saudi Arabia,World,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",575769372,,,-36.8535712,174.7456809
2020,2020,Import,Saudi Arabia,Australia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",4082188,,,-24.7761086,134.755
2020,2020,Import,Saudi Arabia,Austria,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",451689,,,47.59397,14.12456
2020,2020,Import,Saudi Arabia,Bahrain,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",2080135,,,26.1551249,50.5344606
2020,2020,Import,Saudi Arabia,Bangladesh,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",37751,,,24.4769288,90.2934413
2020,2020,Import,Saudi Arabia,Armenia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",13050,,,,
2020,2020,Import,Saudi Arabia,Belgium,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",170101,,,50.6402809,4.6667145
2020,2020,Import,Saudi Arabia,Brazil,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",970277,,,-10.3333333,-53.2
2020,2020,Import,Saudi Arabia,Br. Virgin Isds,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",3274,,,,
2020,2020,Import,Saudi Arabia,Bulgaria,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",45519,,,42.6073975,25.4856617
2020,2020,Import,Saudi Arabia,Canada,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",561325,,,61.0666922,-107.991707
2020,2020,Import,Saudi Arabia,China,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",76373390,,,35.000074,104.999927
2020,2020,Import,Saudi Arabia,Croatia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",30936,,,,
2020,2020,Import,Saudi Arabia,Czechia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1495220,,,,
2020,2020,Import,Saudi Arabia,Denmark,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",117822,,,55.670249,10.3333283
2020,2020,Import,Saudi Arabia,Ethiopia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",8214,,,10.2116702,38.6521203
2020,2020,Import,Saudi Arabia,Estonia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",20932,,,58.7523778,25.3319078
2020,2020,Import,Saudi Arabia,Finland,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1223629,,,63.2467777,25.9209164
2020,2020,Import,Saudi Arabia,France,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",2305148,,,46.603354,1.8883335
2020,2020,Import,Saudi Arabia,State of Palestine,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",2630392,,,31.46242095,34.262716572130714
2020,2020,Import,Saudi Arabia,Germany,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",10142622,,,51.1638175,10.4478313
2020,2020,Import,Saudi Arabia,Greece,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",10123043,,,38.9953683,21.9877132
2020,2020,Import,Saudi Arabia,Hungary,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",737231,,,47.1817585,19.5060937
