ptTitle,ptLon,ptLat
Northern Africa,19.569604022535763,12.47761721199581
Western Europe,47.92172048214207,7.866753258497997
Australia and New Zealand,-16.85099460447687,133.4130365630627
Eastern Europe,51.67568633314729,27.673469819741847
Latin America and the Caribbean,17.925141963241547,-78.01492950057497
Northern America,43.897683433510366,-100.08947125585887
Southern Europe,40.12399607988535,20.742583178432696
Northern Europe,59.36075159783851,25.013469519673873
Sub-Saharan Africa,6.06272746187266,22.727528470146083
Western Asia,26.429212180835716,52.86847103284948
Eastern Asia,37.977378106878206,73.97804075806764
South-eastern Asia,10.528384761701911,103.08333472012376
Southern Asia,25.499703063807168,75.5024015339642
Melanesia,1.0108650891006263,147.3257485906919
Central Asia,39.89317229901691,61.060280637304274
Micronesia,6.418559504495792,157.6364476938912
Polynesia,-5.109184731250752,167.40343615892436
Algeria,2.9999825,28.0000272
Comoros,44.2832964,-12.2045176
Cyprus,33.1451285,34.9823018
Georgia,-83.1137366,32.3293809
State of Palestine,34.262716572130714,31.46242095
Azerbaijan,47.7872508,40.3936294
Iraq,44.1749775,33.0955793
Israel,34.8594762,30.8124247
Jordan,36.941628,31.1667049
Kuwait,47.4979476,29.2733964
Lebanon,35.843409,33.8750629
Libya,18.1236723,26.8234472
Malta,14.4476911,35.8885993
Mauritania,-9.2399263,20.2540382
Bahrain,50.5344606,26.1551249
Afghanistan,66.2385139,33.7680065
Morocco,-7.33,31.17
Oman,57.0036901,21.0000287
Armenia,44.6736646,40.7696272
Pakistan,71.247499,30.3308401
Qatar,51.2295295,25.3336984
Saudi Arabia,42.3528328,25.6242618
United Arab Emirates,53.9994829,24.0002488
Turkey,34.9249653,38.9597594
Yemen,47.8915271,16.3471243
